No.,Name,Nationality,Birth date,Batting style,Bowling style,Signed year,Salary,Notes,Team,Specialization
10,David Miller,South Africa,10 June 1989 (age 34),Left-handed,Right-arm off break,2022,"₹3 crore (US$380,000)",Overseas,GT,Batter
,Kane Williamson,New Zealand,8 August 1990 (age 33),Right-handed,Right-arm off break,2023,"₹2 crore (US$250,000)",Overseas,GT,Batter
18,Abhinav Manohar,India,16 September 1994 (age 29),Right-handed,Right-arm leg break,2022,"₹2.6 crore (US$330,000)",,GT,Batter
7,Shubman Gill,India,8 September 1999 (age 24),Right-handed,Right-arm off break,2022,₹8 crore (US$1.0 million),Captain,GT,Batter
23,Sai Sudharsan,India,15 October 2001 (age 22),Left-handed,Right-arm leg break,2022,"₹20 lakh (US$25,000)",,GT,Batter
6,Wriddhiman Saha,India,24 October 1984 (age 39),Right-handed,–,2022,"₹1.9 crore (US$240,000)",,GT,Wicket-keeper
13,Matthew Wade,Australia,26 December 1987 (age 35),Left-handed,–,2022,"₹2.4 crore (US$300,000)",Overseas,GT,Wicket-keeper
9,Rahul Tewatia,India,20 May 1993 (age 30),Left-handed,Right-arm leg break,2022,₹9 crore (US$1.1 million),,GT,Wicket-keeper
59,Vijay Shankar,India,26 January 1991 (age 32),Right-handed,Right-arm medium,2022,"₹1.4 crore (US$180,000)",,GT,Wicket-keeper
19,Rashid Khan,Afghanistan,20 September 1998 (age 25),Right-handed,Right-arm leg break,2022,₹15 crore (US$1.9 million),Overseas,GT,Spin bowler
1,Ravisrinivasan Sai Kishore,India,6 November 1996 (age 27),Left-handed,Left-arm orthodox,2022,"₹3 crore (US$380,000)",,GT,Spin bowler
22,Jayant Yadav,India,20 January 1990 (age 33),Right-handed,Right-arm off-break,2022,"₹1.7 crore (US$210,000)",,GT,Spin bowler
15,Noor Ahmad,Afghanistan,3 January 2005 (age 18),Right-handed,Left-arm unorthodox,2022,"₹30 lakh (US$38,000)",Overseas,GT,Spin bowler
11,Mohammed Shami,India,3 September 1990 (age 33),Right-handed,Right-arm fast,2022,"₹6.25 crore (US$780,000)",,GT,Pace bowler
4,Darshan Nalkande,India,4 October 1998 (age 25),Right-handed,Right-arm fast-medium,2022,"₹20 lakh (US$25,000)",,GT,Pace bowler
82,Josh Little,Ireland,1 November 1999 (age 24),Right-handed,Left-arm medium-fast,2023,"₹4.4 crore (US$550,000)",Overseas,GT,Pace bowler
27,Mohit Sharma,India,18 September 1988 (age 35),Right-handed,Right-arm medium,2023,"₹50 lakh (US$63,000)",,GT,Pace bowler
27,Nitish Rana,India,27 December 1993 (age 29),Left-handed,Right-arm off break,2018,₹8 crore (US$1.0 million),,KKR,Batter
41,Shreyas Iyer,India,6 December 1994 (age 29),Right-handed,Right-arm leg break,2022,₹12.5 crore (US$1.6 million),Captain,KKR,Batter
35,Rinku Singh,India,12 October 1997 (age 26),Left-handed,Right-arm off break,2018,"₹55 lakh (US$69,000)",,KKR,Batter
—,Jason Roy,England,21 July 1990 (age 33),Right-handed,Right arm-medium,2023,"₹2.8 crore (US$350,000)",Overseas[55],KKR,Batter
21,Rahmanullah Gurbaz,Afghanistan,28 November 2001 (age 22),Right-handed,Right-arm medium fast,2023,"₹50 lakh (US$63,000)",Overseas,KKR,Wicket-keeper
6,Anukul Roy,India,30 November 1998 (age 25),Left-handed,Slow left-arm orthodox spin,2022,"₹20 lakh (US$25,000)",,KKR,All-rounder
12,Andre Russell,West Indies,29 April 1988 (age 35),Right-handed,Right-arm fast-medium,2014,₹12 crore (US$1.5 million),Overseas,KKR,All-rounder
25,Venkatesh Iyer,India,25 December 1994 (age 28),Left-handed,Right-arm medium,2021,₹8 crore (US$1.0 million),,KKR,All-rounder
74,Sunil Narine,West Indies,26 May 1988 (age 35),Left-handed,Right-arm off break,2012,"₹6 crore (US$750,000)",Overseas,KKR,All-rounder
22,Harshit Rana,India,22 December 2001 (age 21),Right-handed,Right-arm fast medium,2022,"₹20 lakh (US$25,000)",,KKR,Pace bowler
—,Vaibhav Arora,India,14 December 1997 (age 25),Right-handed,Right-arm fast medium,2023,"₹60 lakh (US$75,000)",,KKR,Pace bowler
29,Varun Chakravarthy,India,29 August 1991 (age 32),Right-handed,Right-arm leg break,2020,₹8 crore (US$1.0 million),,KKR,Spin bowler
5,Suyash Sharma,India,15 May 2003 (age 20),Right-handed,Right-arm leg break,2023,"₹20 lakh (US$25,00",,KKR,Spin bowler
3,Ayush Badoni,India,3 December 1999 (age 24),Right-handed,Right-arm off break,2022,"₹20 lakh (US$25,000)",,LSG,Batter
37,Devdutt Padikkal,India,7 July 2000 (age 23),Left-handed,Right-arm off break,2023,"₹7.75 crore (US$970,000)",Traded from Rajasthan Royals in exchange for Avesh Khan,LSG,Batter
1,KL Rahul,India,18 April 1992 (age 31),Right-handed,Right-arm medium,2022,₹17 crore (US$2.1 million),Captain,LSG,Wicket-keeper
12,Quinton de Kock,South Africa,17 December 1992 (age 30),Left-handed,,2022,"₹6.75 crore (US$850,000)",Overseas,LSG,Wicket-keeper
29,Nicholas Pooran,West Indies,2 October 1995 (age 28),Left-handed,Right-arm off break,2023,₹16 crore (US$2.0 million),Overseas,LSG,Wicket-keeper
7,Krishnappa Gowtham,India,20 October 1988 (age 35),Right-handed,Right-arm off break,2022,"₹90 lakh (US$110,000)",,LSG,All-rounder
17,Marcus Stoinis,Australia,16 August 1989 (age 34),Right-handed,Right-arm medium,2022,₹9.2 crore (US$1.2 million),Overseas,LSG,All-rounder
25,Krunal Pandya,India,24 March 1991 (age 32),Left-handed,Left-arm orthodox,2022,₹8.25 crore (US$1.0 million),Vice Captain,LSG,All-rounder
71,Kyle Mayers,West Indies,8 September 1992 (age 31),Left-handed,Right-arm medium,2022,"₹50 lakh (US$63,000)",Overseas,LSG,All-rounder
57,Deepak Hooda,India,19 April 1995 (age 28),Right-handed,Right-arm off break,2022,"₹5.75 crore (US$720,000)",,LSG,All-rounder
46,Prerak Mankad,India,23 April 1994 (age 29),Right-handed,Right-arm medium,2023,"₹20 lakh (US$25,000)",,LSG,All-rounder
33,Mark Wood,England,11 January 1990 (age 33),Right-handed,Right-arm fast,2023,"₹7.5 crore (US$940,000)",Overseas,LSG,Pace bowler
34,Yudhvir Singh,India,13 September 1997 (age 26),Right-handed,Right-arm medium,2023,"₹20 lakh (US$25,000)",,LSG,Pace bowler
47,Mohsin Khan,India,15 July 1998 (age 25),Left-handed,Left-arm medium-fast,2022,"₹20 lakh (US$25,000)",,LSG,Pace bowler
9,Yash Thakur,India,28 December 1998 (age 24),Right-handed,Right-arm medium-fast,2023,"₹45 lakh (US$56,000)",,LSG,Pace bowler
78,Naveen-ul-Haq,Afghanistan,23 September 1999 (age 24),Right-handed,Right-arm medium-fast,2023,"₹50 lakh (US$63,000)",Overseas,LSG,Pace bowler
8,Mayank Yadav,India,17 June 2002 (age 21),Right-handed,Right-arm medium,2022,"₹20 lakh (US$25,000)",,LSG,Pace bowler
99,Amit Mishra,India,24 November 1982 (age 41),Right-handed,Right-arm leg spin,2023,"₹50 lakh (US$63,000)",,LSG,Spin bowler
56,Ravi Bishnoi,India,5 September 2000 (age 23),Right-handed,Right-arm leg spin,2022,"₹4 crore (US$500,000)",,LSG,Spin bowler
8,Tim David,Australia,16 March 1996 (age 27),Right-handed,Right-arm off break,2022,₹8.25 crore (US$1.0 million),Overseas,MI,Batter
19,Nehal Wadhera,India,4 September 2000 (age 23),Left-handed,Right-arm leg break,2023,"₹20 lakh (US$25,000)",,MI,Batter
45,Rohit Sharma,India,30 April 1987 (age 36),Right-handed,Right-arm off break,2011,₹16 crore (US$2.0 million),Captain,MI,Batter
63,Suryakumar Yadav,India,14 September 1990 (age 33),Right-handed,Right-arm medium,2018,₹8 crore (US$1.0 million),,MI,Batter
9,Tilak Varma,India,8 November 2002 (age 21),Left-handed,Right-arm off break,2022,"₹1.7 crore (US$210,000)",,MI,All-rounder
17,Dewald Brevis,South Africa,29 April 2003 (age 20),Right-handed,Right-arm leg break,2022,"₹3 crore (US$380,000)",Overseas,MI,All-rounder
33,Piyush Chawla,India,24 December 1988 (age 34),Left-handed,Right-arm leg break,2023,"₹50 lakh (US$63,000)",,MI,All-rounder
,Hardik Pandya,India,11 October 1993 (age 30),Right-handed,Right-arm fast-medium,2023,₹15 crore (US$1.9 million),Traded from Gujarat Titans,MI,All-rounder
,Shams Mulani,India,13 March 1997 (age 26),Left-handed,Left-arm orthodox,2023,"₹20 lakh (US$25,000)",,MI,All-rounder
16,Romario Shepherd,West Indies,26 November 1994 (age 29),Right-handed,Right arm fast medium,2023,"₹50 lakh (US$63,000)","Overseas, traded from Lucknow Super Giants",MI,All-rounder
4,Vishnu Vinod,India,2 December 1993 (age 30),Right-handed,–,2022,"₹20 lakh (US$25,000)",,MI,Wicket-keeper
23,Ishan Kishan,India,18 July 1998 (age 25),Left-handed,–,2022,₹15.25 crore (US$1.9 million),,MI,Wicket-keeper
26,Kumar Kartikeya,India,26 December 1997 (age 25),Right-handed,Left-arm spinner,2022,"₹20 lakh (US$25,000)",,MI,Spin bowler
5,Jason Behrendorff,Australia,20 April 1990 (age 33),Left-handed,Left-arm fast-medium,2023,"₹75 lakh (US$94,000)",Overseas,MI,Pace bowler
24,Arjun Tendulkar,India,24 September 1999 (age 24),Left-handed,Left-arm medium-fast,2021,"₹30 lakh (US$38,000)",,MI,Pace bowler
93,Jasprit Bumrah,India,6 December 1993 (age 30),Right-handed,Right-arm fast,2013,₹12 crore (US$1.5 million),,MI,Pace bowler
,Akash Madhwal,India,10 May 1995 (age 28),Right-handed,Left-arm medium-fast,2022,"₹20 lakh (US$25,000)",,MI,Pace bowler
22,Yash Dhull,India,11 November 2002 (age 21),Right-handed,Right-arm off break,2022,"₹50 lakh (US$63,000)",,DC,Batter
31,David Warner,Australia,27 October 1986 (age 37),Left-handed,Right-arm leg break,2022,"₹6.25 crore (US$780,000)",Overseas,DC,Batter
100,Prithvi Shaw,India,9 November 1999 (age 24),Right-handed,Right-arm off break,2018,"₹7.5 crore (US$940,000)",,DC,Batter
1,Abishek Porel,India,17 October 2002 (age 21),Left-handed,,2023,,,DC,Wicket-keeper
17,Rishabh Pant,India,4 October 1997 (age 26),Left-handed,,2016,₹16 crore (US$2.0 million),,DC,Wicket-keeper
8,Mitchell Marsh,Australia,20 October 1991 (age 32),Right-handed,Right-arm medium,2022,"₹6 crore (US$750,000)",Overseas,DC,All-rounder
16,Lalit Yadav,India,3 January 1997 (age 26),Right-handed,Right-arm off break,2022,"₹65 lakh (US$81,000)",,DC,All-rounder
20,Axar Patel,India,20 January 1994 (age 29),Left-handed,Left-arm orthodox,2019,₹9 crore (US$1.1 million),Vice-captain,DC,All-rounder
2,Anrich Nortje,South Africa,16 November 1993 (age 30),Right-handed,Right-arm fast,2020,"₹6.5 crore (US$810,000)",Overseas,DC,Pace bowler
29,Ishant Sharma,India,2 September 1988 (age 35),Right-Handed,Right-arm fast-medium,2023,"₹50 lakh (US$63,000)",,DC,Pace bowler
49,Mukesh Kumar,India,12 October 1993 (age 30),Right-Handed,Right-arm medium,2023,"₹5.5 crore (US$690,000)",,DC,Pace bowler
71,Khaleel Ahmed,India,5 December 1997 (age 26),Right-handed,Left-arm medium,2022,"₹5.25 crore (US$660,000)",,DC,Pace bowler
,Lungi Ngidi,South Africa,29 March 1996 (age 27),Right-handed,Right-arm fast-medium,2022,"₹50 lakh (US$63,000)",Overseas,DC,Pace bowler
23,Kuldeep Yadav,India,14 December 1994 (age 28),Left-handed,Left-arm unorthodox,2022,"₹2 crore (US$250,000)",,DC,Spin bowler
46,Praveen Dubey,India,1 July 1993 (age 30),Right-handed,Right-arm leg spin,2020,"₹50 lakh (US$63,000)",,DC,Spin bowler
,Vicky Ostwal,India,1 September 2002 (age 21),Left-handed,Left-arm orthodox,2022,"₹20 lakh (US$25,000)",,DC,Spin bowler
42,Shikhar Dhawan,India,5 December 1985 (age 38),Left-handed,Right-arm off break,2022,₹8.25 crore (US$1.0 million),Captain,PBKS,Batter
5,Harpreet Singh Bhatia,India,11 August 1991 (age 32),Left-handed,Right-arm medium,2023,"₹40 lakh (US$50,000)",,PBKS,Batter
,Shivam Singh,India,18 November 1996 (age 27),Right-handed,Right-arm Off spin,2023,"₹20 lakh (US$25,000)",,PBKS,Batter
51,Jonny Bairstow,England,26 September 1989 (age 34),Right-handed,Right-arm off spin,2022,"₹6.75 crore (US$850,000)",Overseas,PBKS,Wicket-keeper
99,Jitesh Sharma,India,22 October 1993 (age 30),Right-handed,-,2022,"₹20 lakh (US$25,000)",,PBKS,Wicket-keeper
84,Prabhsimran Singh,India,10 August 2000 (age 23),Right-handed,-,2022,"₹60 lakh (US$75,000)",,PBKS,Wicket-keeper
14,Atharva Taide,India,26 April 2000 (age 23),Left-handed,Slow left arm orthodox,2022,"₹20 lakh (US$25,000)",,PBKS,All-rounder
24,Sikandar Raza,Zimbabwe,24 April 1986 (age 37),Right-handed,Right-arm off spin,2022,"₹50 lakh (US$63,000)",Overseas,PBKS,All-rounder
19,Rishi Dhawan,India,19 February 1990 (age 33),Right-handed,Right-arm medium-fast,2022,"₹55 lakh (US$69,000)",,PBKS,All-rounder
23,Liam Livingstone,England,4 August 1993 (age 30),Right-handed,Right-arm leg break,2022,₹11.5 crore (US$1.4 million),Overseas,PBKS,All-rounder
58,Sam Curran,England,3 June 1998 (age 25),Left-handed,Left-arm medium-fast,2023,₹18.5 crore (US$2.3 million),Overseas,PBKS,All-rounder
72,Nathan Ellis,Australia,22 September 1994 (age 29),Right-handed,Right-arm fast medium,2022,"₹75 lakh (US$94,000)",Overseas,PBKS,Pace bowler
25,Kagiso Rabada,South Africa,25 May 1995 (age 28),Left-handed,Right-arm fast,2022,₹9.25 crore (US$1.2 million),Overseas,PBKS,Pace bowler
2,Arshdeep Singh,India,5 February 1999 (age 24),Left-handed,Left-arm medium-fast,2019,"₹4 crore (US$500,000)",,PBKS,Pace bowler
10,Baltej Singh,India,4 November 1990 (age 33),Right-handed,Right-arm medium,2022,"₹20 lakh (US$25,000)",,PBKS,Pace bowler
,Vidwath Kaverappa,India,25 February 1999 (age 24),Right-handed,Right-arm medium-fast,2023,"₹20 lakh (US$25,000)",,PBKS,Pace bowler
95,Harpreet Brar,India,16 September 1995 (age 28),Left-handed,Slow left-arm orthodox,2022,"₹3.8 crore (US$480,000)",,PBKS,Spin bowler
83,Rahul Chahar,India,4 August 1999 (age 24),Right-handed,Right-arm leg break,2022,"₹5.25 crore (US$660,000)",,PBKS,Spin bowler
5,Riyan Parag,India,10 November 2001 (age 22),Right-handed,Right-arm leg break,2019,"₹3.8 crore (US$480,000)",,RR,Batter
19,Yashasvi Jaiswal,India,28 December 2001 (age 21),Left-handed,Right-arm leg break,2022,"₹4 crore (US$500,000)",,RR,Batter
21,Dhruv Jurel,India,21 January 2001 (age 22),Right-handed,–,2022,"₹20 lakh (US$25,000)",Back-up wicket-keeper,RR,Batter
63,Jos Buttler,England,8 September 1990 (age 33),Right-handed,–,2018,₹10 crore (US$1.3 million),"Overseas, wicket-keeper",RR,Batter
189,Shimron Hetmyer,West Indies,26 December 1996 (age 26),Left-handed,–,2022,₹8.5 crore (US$1.1 million),Overseas,RR,Batter
11,Sanju Samson,India,11 November 1994 (age 29),Right-handed,Right-arm off-spin,2018,₹16 crore (US$2.0 million),Captain,RR,Wicket-keeper
—,Donavon Ferreira,South Africa,21 July 1998 (age 25),Right-handed,–,2023,"₹50 lakh (US$63,000)",Overseas,RR,Wicket-keeper
—,Kunal Singh Rathore,India,9 October 2002 (age 21),Left-handed,–,2023,"₹20 lakh (US$25,000)",,RR,Wicket-keeper
99,Ravichandran Ashwin,India,17 September 1986 (age 37),Right-handed,Right-arm off break,2022,"₹5 crore (US$630,000)",,RR,All-rounder
18,Trent Boult,New Zealand,22 July 1989 (age 34),Right-handed,Left-arm fast-medium,2022,₹8 crore (US$1.0 million),Overseas,RR,Pace bowler
20,Sandeep Sharma,India,18 May 1993 (age 30),Right-handed,Right-arm medium,2023,–,Replacement for Prasidh Krishna,RR,Pace bowler
22,Kuldeep Sen,India,22 October 1996 (age 27),Right-handed,Right-arm fast,2022,"₹20 lakh (US$25,000)",,RR,Pace bowler
24,Prasidh Krishna,India,19 February 1996 (age 27),Right-handed,Right-arm fast-medium,2022,₹10 crore (US$1.3 million),,RR,Pace bowler
65,Avesh Khan,India,13 December 1996 (age 26),Right-handed,Right-arm fast-medium,2023,₹10 crore (US$1.3 million),Traded from Lucknow Super Giants in exchange for Devdutt Padikkal,RR,Pace bowler
96,Navdeep Saini,India,23 November 1992 (age 31),Right-handed,Right-arm fast,2022,"₹2.6 crore (US$330,000)",,RR,Pace bowler
3,Yuzvendra Chahal,India,23 July 1990 (age 33),Right-handed,Right-arm leg break,2022,"₹6.5 crore (US$810,000)",,RR,Spin bowler
88,Adam Zampa,Australia,31 March 1992 (age 31),Right-handed,Right-arm leg break,2023,"₹1.5 crore (US$190,000)",Overseas,RR,Spin bowler
16,Mayank Agarwal,India,16 February 1991 (age 32),Right-handed,Right-arm off break,2023,₹8.25 crore (US$1.0 million),,SRH,Batter
52,Rahul Tripathi,India,2 March 1991 (age 32),Right-handed,Right-arm medium,2022,₹8.5 crore (US$1.1 million),,SRH,Batter
94,Aiden Markram,South Africa,4 October 1994 (age 29),Right-handed,Right-arm off break,2022,"₹2.6 crore (US$330,000)",Overseas; Captain,SRH,Batter
4,Abhishek Sharma,India,4 September 2000 (age 23),Left-handed,Left-arm orthodox,2019,"₹6.5 crore (US$810,000)",,SRH,Batter
14,Samarth Vyas,India,28 November 1995 (age 28),Right-handed,Right-arm leg break,2023,"₹20 lakh (US$25,000)",,SRH,Batter
1,Abdul Samad,India,28 October 2001 (age 22),Right-handed,Right-arm leg break,2020,"₹4 crore (US$500,000)",,SRH,Batter
63,Anmolpreet Singh,India,28 March 1998 (age 25),Right-handed,Right-arm off-break,2023,"₹20 lakh (US$25,000)",,SRH,Batter
,Vivrant Sharma,India,30 October 1999 (age 24),Left-handed,Right-arm Leg spin,2023,"₹2.6 crore (US$330,000)",,SRH,Batter
6,Glenn Phillips,New Zealand,6 December 1996 (age 27),Right-handed,Right-arm off break,2022,"₹1.5 crore (US$190,000)",Overseas,SRH,Wicket-keeper
45,Heinrich Klaasen,South Africa,30 July 1991 (age 32),Right-handed,Right-arm off spin,2023,"₹5.25 crore (US$660,000)",Overseas,SRH,Wicket-keeper
,Upendra Yadav,India,8 October 1996 (age 27),Right-handed,Right-arm off spin,2023,"₹25 lakh (US$31,000)",,SRH,Wicket-keeper
,Sanvir Singh,India,12 October 1996 (age 27),Right-handed,Right-arm medium,2023,"₹20 lakh (US$25,000)",,SRH,All-rounder
8,Nitish Kumar Reddy,India,26 May 2003 (age 20),Right-handed,Right-arm medium-fast,2023,"₹20 lakh (US$25,000)",,SRH,All-rounder
15,Bhuvneshwar Kumar,India,5 February 1990 (age 33),Right-handed,Right arm medium-fast,2014,"₹4.2 crore (US$530,000)",Vice-captain,SRH,Pace bowler
44,T. Natarajan,India,4 April 1991 (age 32),Left-handed,Left arm medium-fast,2018,"₹4 crore (US$500,000)",,SRH,Pace bowler
24,Umran Malik,India,22 November 1999 (age 24),Right-handed,Right arm fast,2021,"₹4 crore (US$500,000)",,SRH,Pace bowler
70,Marco Jansen,South Africa,1 May 2000 (age 23),Right-handed,Left-arm fast,2022,"₹4.2 crore (US$530,000)",Overseas,SRH,Pace bowler
83,Fazalhaq Farooqi,Afghanistan,22 September 2000 (age 23),Right-handed,Left-arm medium-fast,2022,"₹50 lakh (US$63,000)",Overseas,SRH,Pace bowler
9,Kartik Tyagi,India,8 November 2000 (age 23),Right-handed,Right arm fast,2022,"₹4 crore (US$500,000)",,SRH,Pace bowler
11,Mayank Markande,India,11 November 1997 (age 26),Right-handed,Right-arm leg break,2023,"₹50 lakh (US$63,000)",,SRH,Spin bowler
5,Washington Sundar,India,5 October 1999 (age 24),Left-handed,Right-arm off break,2022,₹8.75 crore (US$1.1 million),,SRH,Spin bowler
,Mayank Dagar,India,11 November 1996 (age 27),Right-handed,Left-arm orthodox,2023,"₹1.80 crore (US$230,000)",,SRH,Spin bowler
95,Adil Rashid,England,17 February 1988 (age 35),Right-handed,Right-arm leg break,2023,"₹2 crore (US$250,000)",Overseas,SRH,Spin bowler
,Akeal Hosein,West Indies,25 April 1993 (age 30),Left-handed,Left-arm orthodox,2023,"₹1 crore (US$130,000)",Overseas,SRH,Spin bowler
13,Faf du Plessis,South Africa,13 July 1984 (age 39),Right-handed,Right-arm leg-break,2022,"₹7 crore (US$880,000)",Overseas; Captain,RCB,Batter
18,Virat Kohli,India,5 November 1988 (age 35),Right-handed,Right-arm medium,2008,₹15 crore (US$1.9 million),,RCB,Batter
97,Rajat Patidar,India,1 June 1993 (age 30),Right-handed,Right-arm off-break,2022,"₹20 lakh (US$25,000)",,RCB,Batter
,Will Jacks,England,21 November 1998 (age 25),Right-handed,Right-arm off-break,2023,"₹3.2 crore (US$400,000)",Overseas,RCB,Batter
19,Dinesh Karthik,India,1 June 1985 (age 38),Right-handed,Right-arm off-break,2022,"₹5.5 crore (US$690,000)",,RCB,Wicket-keeper
27,Anuj Rawat,India,17 October 1999 (age 24),Left-handed,,2022,"₹3.4 crore (US$430,000)",,RCB,Wicket-keeper
6,Mahipal Lomror,India,16 November 1999 (age 24),Left-handed,Left-arm orthodox,2022,"₹95 lakh (US$120,000)",,RCB,All-rounder
32,Glenn Maxwell,Australia,14 October 1988 (age 35),Right-handed,Right-arm off-break,2021,₹11 crore (US$1.4 million),Overseas,RCB,All-rounder
43,Suyash Prabhudessai,India,6 December 1997 (age 26),Right-handed,Right-arm medium,2021,"₹30 lakh (US$38,000)",,RCB,All-rounder
,Manoj Bhandage,India,5 October 1998 (age 25),Left-handed,Right-arm medium-fast,2023,"₹20 lakh (US$25,000)",,RCB,All-rounder
,Cameron Green,Australia,3 June 1999 (age 24),Right-handed,Right-arm fast-medium,2024,₹17.5 crore (US$2.2 million),Overseas,RCB,All-rounder
,Mayank Dagar,India,11 November 1996 (age 27),Left-handed,Left-arm orthodox,2024,"₹1.8 crore (US$230,000)",,RCB,All-rounder
8,Reece Topley,England,21 February 1994 (age 29),Right-handed,Left-arm fast-medium,2023,"₹1.9 crore (US$240,000)",Overseas,RCB,Pace bowler
11,Akash Deep,India,15 December 1996 (age 26),Right-handed,Right-arm fast-medium,2021,"₹20 lakh (US$25,000)",,RCB,Pace bowler
31,Vijaykumar Vyshak,India,21 January 1997 (age 26),Right-handed,Right-arm medium,2023,"₹20 lakh (US$25,000)",,RCB,Pace bowler
73,Mohammed Siraj,India,13 March 1994 (age 29),Right-handed,Right-arm fast-medium,2018,"₹7 crore (US$880,000)",,RCB,Pace bowler
,Rajan Kumar,India,8 July 1996 (age 27),Left-handed,Left-arm fast-medium,2023,"₹20 lakh (US$25,000)",,RCB,Pace bowler
33,Karn Sharma,India,23 September 1987 (age 36),Left-handed,Right-arm leg-break,2022,"₹50 lakh (US$63,000)",,RCB,Spin bowler
44,Himanshu Sharma,India,6 June 1998 (age 25),Right-handed,Right-arm leg-break,2023,"₹20 lakh (US$25,000)",,RCB,Spin bowler
21,Ajinkya Rahane,India,6 June 1988 (age 35),Right-handed,Right-arm off spin,2023,"₹50 lakh (US$63,000)",,CSK,Batter
31,Ruturaj Gaikwad,India,31 January 1997 (age 26),Right-handed,Right-arm off break,2019,"₹6 crore (US$750,000)",,CSK,Batter
66,Shaik Rasheed,India,24 September 2004 (age 19),Right-handed,Right-arm Leg spin,2023,"₹20 lakh (US$25,000)",,CSK,Batter
88,Devon Conway,New Zealand,8 July 1991 (age 32),Left-handed,Right-arm medium,2022,"₹1 crore (US$130,000)",Overseas,CSK,Batter
7,MS Dhoni,India,7 July 1981 (age 42),Right-handed,Right-arm medium,2018,₹12 crore (US$1.5 million),Captain,CSK,Wicket-keeper
8,Ravindra Jadeja,India,6 December 1988 (age 35),Left-handed,Left-arm slow orthodox,2018,₹16 crore (US$2.0 million),,CSK,All-rounder
10,Rajvardhan Hangargekar,India,10 November 2002 (age 21),Right-handed,Right-arm fast-medium,2022,"₹1.5 crore (US$190,000)",,CSK,All-rounder
18,Moeen Ali,England,18 June 1987 (age 36),Left-handed,Right-arm off break,2021,₹8 crore (US$1.0 million),Overseas,CSK,All-rounder
19,Ajay Mandal,India,25 February 1996 (age 27),Left-handed,Left-arm slow orthodox,2023,"₹20 lakh (US$25,000)",,CSK,All-rounder
25,Shivam Dube,India,26 June 1993 (age 30),Left-handed,Right-arm medium,2022,"₹4 crore (US$500,000)",,CSK,All-rounder
27,Nishant Sindhu,India,9 April 2004 (age 19),Left-handed,Left-arm slow orthodox,2023,"₹60 lakh (US$75,000)",,CSK,All-rounder
74,Mitchell Santner,New Zealand,5 February 1992 (age 31),Left-handed,Left-arm slow orthodox,2018,"₹1.9 crore (US$240,000)",Overseas,CSK,All-rounder
46,Prashant Solanki,India,22 February 2000 (age 23),Right-handed,Right-arm leg spin,2022,"₹1.2 crore (US$150,000)",,CSK,Spin bowler
61,Maheesh Theekshana,Sri Lanka,1 August 2000 (age 23),Right-handed,Right-arm off break,2022,"₹70 lakh (US$88,000)",Overseas,CSK,Spin bowler
24,Tushar Deshpande,India,15 May 1995 (age 28),Left-handed,Right-arm medium,2022,"₹20 lakh (US$25,000)",,CSK,Pace bowler
33,Mukesh Choudhary,India,6 July 1996 (age 27),Left-handed,Left-arm medium-fast,2022,"₹20 lakh (US$25,000)",,CSK,Pace bowler
90,Deepak Chahar,India,7 August 1992 (age 31),Right-handed,Right-arm medium-fast,2018,₹14 crore (US$1.8 million),,CSK,Pace bowler
98,Simarjeet Singh,India,17 January 1998 (age 25),Right-handed,Right-arm medium-fast,2022,"₹20 lakh (US$25,000)",,CSK,Pace bowler
99,Matheesha Pathirana,Sri Lanka,18 December 2002 (age 20),Right-handed,Right-arm fast,2022,"₹20 lakh (US$25,000)",Overseas,CSK,Pace bowler
