,Name,Team,Type,ValueinCR,National Side,Batting Style,Bowling,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,IPL Matches,Capped / Uncapped ,IPL 2021 Team,Previous IPL Team(s),Pre-Auction,Purse Deduction
0,Mayank Agarwal,PBKS,Batsman ,120000000.0,India,Right Handed,Off break,100.0,95.0,4.0,2131.0,106 v RR,1.0,11.0,203.0,85.0,23.41,135.47,40.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,No record found,No record found,Retained,140000000.0
1,Liam Livingstone,PBKS,All-Rounder ,115000000.0,England,Right Handed,Leg break,9.0,9.0,1.0,112.0,44 v SRH,0.0,0.0,9.0,6.0,14.0,125.84,7.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0/13 v MI,0.0,0.0,0.0,13.0,0.0,1.0,9.0,Capped,RR,RR,Auctioned,115000000.0
2,Kagiso Rabada,PBKS,Bowler ,92500000.0,South Africa,Left Handed,Right-arm fast,50.0,18.0,8.0,138.0,44 v MI,0.0,0.0,11.0,4.0,13.8,102.98,23.0,0.0,5.0,2.0,50.0,190.0,2.0,1560.0,76.0,4/21 v RCB,4.0,0.0,20.52,8.21,15.0,50.0,50.0,Capped,DC,DC,Auctioned,92500000.0
3,Shahrukh Khan,PBKS,All-Rounder ,90000000.0,India,Right Handed,Off break,11.0,10.0,3.0,153.0,47 v CSK,0.0,0.0,9.0,10.0,21.85,134.21,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,No record found,No record found,Auctioned,90000000.0
4,Shikhar Dhawan,PBKS,Batsman ,82500000.0,India,Left Handed,Off break,192.0,191.0,25.0,5784.0,106* v PBKS,2.0,44.0,654.0,124.0,34.84,126.64,82.0,0.0,11.0,16.0,6.0,8.0,0.0,66.0,4.0,1/7 v DC,0.0,0.0,16.5,8.25,12.0,6.0,192.0,Capped,DC,"MI, DCH, SRH, DC",Auctioned,82500000.0
5,Jonny Bairstow,PBKS,Wicket-Keeper ,67500000.0,England,Right Handed,Right-arm medium,28.0,28.0,3.0,1038.0,114 v RCB,1.0,7.0,99.0,46.0,41.52,142.19,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Capped,SRH,SRH,Auctioned,67500000.0
6,Odean Smith,PBKS,All-Rounder ,60000000.0,West Indies,Right Handed,Right-arm medium,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Capped,No record found,No record found,Auctioned,60000000.0
7,Rahul Chahar,PBKS,Bowler ,52500000.0,India,Right Handed,Leg break googly,42.0,11.0,4.0,31.0,10 v SRH,0.0,0.0,3.0,0.0,4.42,96.87,11.0,0.0,4.0,1.0,41.0,150.0,0.0,1117.0,43.0,4/27 v KKR,3.0,0.0,25.97,7.44,20.93,41.0,42.0,Capped,MI,"RPS, MI",Auctioned,52500000.0
8,Arshdeep Singh,PBKS,Bowler ,40000000.0,India,Left Handed,Left-arm medium fast,23.0,3.0,2.0,2.0,1* v KKR,0.0,0.0,0.0,0.0,2.0,33.33,6.0,0.0,1.0,0.0,23.0,76.1,1.0,669.0,30.0,5/32 v RR,3.0,1.0,22.3,8.78,15.23,23.0,0.0,No record found,No record found,No record found,Retained,40000000.0
9,Harpreet Brar,PBKS,All-Rounder ,38000000.0,India,Left Handed,Slow left-arm orthodox,10.0,6.0,6.0,84.0,25* v RCB,0.0,0.0,5.0,3.0,0.0,120.0,2.0,0.0,0.0,0.0,10.0,32.0,1.0,228.0,5.0,3/19 v RCB,1.0,0.0,45.6,7.12,38.4,10.0,10.0,Uncapped,PBKS,PBKS,Auctioned,38000000.0
10,Vaibhav Arora,PBKS,Bowler ,20000000.0,India,Right Handed,Right-arm fast medium,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,KKR,KKR,Auctioned,20000000.0
11,Raj Bawa,PBKS,All-Rounder ,20000000.0,India,Left Handed,Right-arm medium fast,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,20000000.0
12,Nathan Ellis,PBKS,Bowler ,7500000.0,Australia,Right Handed,Right-arm fast medium,3.0,2.0,1.0,18.0,12 v SRH,0.0,0.0,0.0,1.0,18.0,112.5,0.0,0.0,0.0,0.0,3.0,11.0,0.0,90.0,1.0,1/12 v MI,0.0,0.0,90.0,8.18,66.0,3.0,3.0,Capped,PBKS,PBKS,Auctioned,7500000.0
13,Prabhsimran Singh,PBKS,Wicket-Keeper ,6000000.0,India,Right Handed,Unknown Bowling Style,5.0,5.0,0.0,50.0,16 v SRH,0.0,0.0,4.0,2.0,10.0,90.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Uncapped,PBKS,PBKS,Auctioned,6000000.0
14,Rishi Dhawan,PBKS,All-Rounder ,5500000.0,India,Right Handed,Right-arm medium fast,26.0,17.0,10.0,153.0,25* v CSK,0.0,0.0,13.0,4.0,21.85,113.33,6.0,0.0,2.0,1.0,25.0,81.2,1.0,640.0,18.0,2/14 v RCB,0.0,0.0,35.55,7.86,27.11,25.0,26.0,Capped,No record found,"MI, PBKS, KKR",Auctioned,5500000.0
15,Bhanuka Rajapaksa,PBKS,Batsman ,5000000.0,Sri Lanka,Unknown Batting Style,Unknown Bowling Style,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Capped,No record found,No record found,Auctioned,5000000.0
16,Sandeep Sharma,PBKS,Bowler ,5000000.0,India,Right Handed,Right-arm medium,99.0,25.0,19.0,52.0,9 v RCB,0.0,0.0,4.0,0.0,8.66,81.25,12.0,0.0,9.0,1.0,99.0,366.2,8.0,2849.0,112.0,4/20 v DC,9.0,0.0,25.43,7.77,19.62,99.0,99.0,Capped,SRH,"PBKS, SRH",Auctioned,5000000.0
17,Benny Howell,PBKS,All-Rounder ,4000000.0,England,Unknown Batting Style,Unknown Bowling Style,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,4000000.0
18,Ishan Porel,PBKS,Bowler ,2500000.0,India,Right Handed,Right-arm medium,1.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,39.0,1.0,1/39 v RR,0.0,0.0,39.0,9.75,24.0,1.0,1.0,Uncapped,PBKS,PBKS,Auctioned,2500000.0
19,Prerak Mankad,PBKS,All-Rounder ,2000000.0,India,Right Handed,Right-arm medium,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
20,Atharva Taide,PBKS,All-Rounder ,2000000.0,India,Left Handed,Slow left-arm orthodox,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
21,Ansh Patel,PBKS,All-Rounder ,2000000.0,India,Right Handed,Slow left-arm orthodox,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
22,Jitesh Sharma,PBKS,Wicket-Keeper ,2000000.0,India,Right Handed,Unknown Bowling Style,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,MI,Auctioned,2000000.0
23,Writtick Chatterjee,PBKS,All-Rounder ,2000000.0,India,Right Handed,Off break,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
24,Baltej Singh,PBKS,Bowler ,2000000.0,India,Right Handed,Right-arm medium,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
25,Kane Williamson,SRH,Batsman ,140000000.0,New Zealand,Right Handed,Off break,63.0,62.0,15.0,1885.0,89 v DC,0.0,17.0,165.0,56.0,40.1,131.26,29.0,0.0,1.0,3.0,2.0,3.0,0.0,31.0,0.0,0/7 v KKR,0.0,0.0,0.0,10.33,0.0,2.0,0.0,No record found,No record found,No record found,Retained,140000000.0
26,Nicholas Pooran,SRH,Wicket-Keeper ,107500000.0,West Indies,Left Handed,Unknown Bowling Style,33.0,31.0,4.0,606.0,77 v SRH,0.0,2.0,35.0,44.0,22.44,154.98,11.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Capped,PBKS,"MI, PBKS",Auctioned,107500000.0
27,Washington Sundar,SRH,All-Rounder ,87500000.0,India,Left Handed,Off break,42.0,26.0,10.0,217.0,35 v RR,0.0,0.0,17.0,6.0,13.56,111.28,9.0,0.0,4.0,0.0,41.0,125.0,1.0,867.0,27.0,3/16 v MI,2.0,0.0,32.11,6.93,27.77,41.0,42.0,Capped,RCB,"RPS, RCB",Auctioned,87500000.0
28,Rahul Tripathi,SRH,Batsman ,85000000.0,India,Right Handed,Right-arm medium,62.0,60.0,7.0,1385.0,93 v KKR,0.0,7.0,136.0,48.0,26.13,136.31,23.0,0.0,1.0,4.0,1.0,1.0,0.0,12.0,0.0,0/12 v KKR,0.0,0.0,0.0,12.0,0.0,1.0,62.0,Uncapped,KKR,"RPS, RR, KKR",Auctioned,85000000.0
29,Romario Shepherd,SRH,All-Rounder ,77500000.0,West Indies,Right Handed,Right-arm medium fast,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Capped,No record found,No record found,Auctioned,77500000.0
30,Abhishek Sharma,SRH,All-Rounder ,65000000.0,India,Left Handed,Slow left-arm orthodox,22.0,20.0,6.0,241.0,46* v RCB,0.0,0.0,17.0,12.0,17.21,139.3,5.0,0.0,0.0,1.0,14.0,22.0,0.0,176.0,7.0,2/4 v MI,0.0,0.0,25.14,8.0,18.85,14.0,22.0,Uncapped,SRH,"DC, SRH",Auctioned,65000000.0
31,Bhuvneshwar Kumar,SRH,Bowler ,42000000.0,India,Right Handed,Right-arm medium,132.0,51.0,25.0,217.0,24* v CSK,0.0,0.0,20.0,3.0,8.34,96.87,27.0,0.0,9.0,4.0,132.0,491.3,9.0,3588.0,142.0,5/19 v PBKS,9.0,1.0,25.26,7.3,20.76,132.0,132.0,Capped,SRH,"RCB, PWI, SRH",Auctioned,42000000.0
32,Marco Jansen,SRH,All-Rounder ,42000000.0,South Africa,Right Handed,Left-arm fast,2.0,2.0,0.0,0.0,0 v KKR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,45.0,2.0,2/28 v RCB,0.0,0.0,22.5,7.5,18.0,2.0,2.0,Capped,MI,MI,Auctioned,42000000.0
33,Umran Malik,SRH,Bowler ,40000000.0,India,Right Handed,Right-arm medium fast,3.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,96.0,2.0,1/21 v RCB,0.0,0.0,48.0,8.0,36.0,3.0,0.0,No record found,No record found,No record found,Retained,40000000.0
34,Abdul Samad,SRH,Batsman ,40000000.0,India,Right Handed,Leg break,23.0,18.0,4.0,222.0,33 v DC,0.0,0.0,12.0,14.0,15.85,146.05,13.0,0.0,2.0,1.0,4.0,8.0,0.0,105.0,2.0,1/9 v PBKS,0.0,0.0,52.5,13.12,24.0,4.0,0.0,No record found,No record found,No record found,Retained,40000000.0
35,T Natarajan,SRH,Bowler ,40000000.0,India,Left Handed,Left-arm medium,24.0,4.0,4.0,3.0,3* v RCB,0.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0,3.0,0.0,24.0,83.3,1.0,688.0,20.0,2/24 v PBKS,0.0,0.0,34.4,8.23,25.05,24.0,0.0,No record found,No record found,No record found,Auctioned,40000000.0
36,Kartik Tyagi,SRH,Bowler ,40000000.0,India,Right Handed,Right-arm medium fast,14.0,5.0,3.0,6.0,2* v DC,0.0,0.0,0.0,0.0,3.0,60.0,3.0,0.0,1.0,0.0,14.0,52.1,0.0,491.0,13.0,2/29 v PBKS,0.0,0.0,37.76,9.41,24.07,14.0,14.0,Uncapped,RR,RR,Auctioned,40000000.0
37,Aiden Markram,SRH,Batsman ,26000000.0,South Africa,Right Handed,Off break,6.0,6.0,1.0,146.0,42 v MI,0.0,0.0,12.0,4.0,29.2,122.68,3.0,0.0,0.0,0.0,2.0,4.0,0.0,23.0,0.0,0/5 v RCB,0.0,0.0,0.0,5.75,0.0,2.0,6.0,Capped,PBKS,PBKS,Auctioned,26000000.0
38,Sean Abbott,SRH,Bowler ,24000000.0,Australia,Right Handed,Right-arm fast medium,2.0,2.0,0.0,15.0,14 v SRH,0.0,0.0,1.0,1.0,7.5,115.38,0.0,0.0,0.0,1.0,2.0,5.0,0.0,57.0,0.0,0/21 v SRH,0.0,0.0,0.0,11.4,0.0,2.0,2.0,Capped,No record found,RCB,Auctioned,24000000.0
39,Glenn Phillips,SRH,Wicket-Keeper ,15000000.0,New Zealand,Right Handed,Off break,3.0,3.0,1.0,26.0,14* v CSK,0.0,0.0,1.0,2.0,13.0,78.78,1.0,0.0,0.0,0.0,2.0,2.0,0.0,20.0,1.0,1/17 v KKR,0.0,0.0,20.0,10.0,12.0,2.0,3.0,Capped,RR,RR,Auctioned,15000000.0
40,Shreyas Gopal,SRH,Bowler ,7500000.0,India,Right Handed,Leg break,48.0,21.0,7.0,171.0,24 v PBKS,0.0,0.0,17.0,2.0,12.21,105.55,11.0,0.0,4.0,2.0,47.0,155.1,1.0,1247.0,48.0,4/16 v RCB,4.0,0.0,25.97,8.03,19.39,47.0,48.0,Uncapped,RR,"MI, RR",Auctioned,7500000.0
41,Fazalhaq Farooqi,SRH,Bowler ,5000000.0,Afghanistan,Right Handed,Left-arm medium,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Capped,No record found,No record found,Auctioned,5000000.0
42,Vishnu Vinod,SRH,Wicket-Keeper ,5000000.0,India,Right Handed,Unknown Bowling Style,3.0,3.0,0.0,19.0,9 v DC,0.0,0.0,1.0,1.0,6.33,73.07,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Uncapped,DC,"RCB, DC",Auctioned,5000000.0
43,Priyam Garg,SRH,Batsman ,2000000.0,India,Right Handed,Right-arm medium,19.0,15.0,1.0,205.0,51* v CSK,0.0,1.0,11.0,7.0,14.64,110.81,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Uncapped,SRH,SRH,Auctioned,2000000.0
44,Saurabh Dubey,SRH,Bowler ,2000000.0,India,Right Handed,Left-arm medium fast,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
45,Jagadeesha Suchith,SRH,Bowler ,2000000.0,India,Left Handed,Slow left-arm orthodox,17.0,8.0,6.0,68.0,34* v PBKS,0.0,0.0,6.0,3.0,34.0,128.3,9.0,0.0,2.0,1.0,16.0,52.0,0.0,462.0,12.0,2/14 v SRH,0.0,0.0,38.5,8.88,26.0,16.0,17.0,Uncapped,SRH,"MI, DC, PBKS, SRH",Auctioned,2000000.0
46,Shashank Singh,SRH,All-Rounder ,2000000.0,India,Right Handed,Off break,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,"DC, RR",Auctioned,2000000.0
47,Ravikumar Samarth,SRH,Batsman ,2000000.0,India,Unknown Batting Style,Unknown Bowling Style,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uncapped,No record found,No record found,Auctioned,2000000.0
48,Sanju Samson,RR,Wicket-Keeper ,140000000.0,India,Right Handed,Unknown Bowling Style,121.0,117.0,12.0,3068.0,119 v PBKS,3.0,15.0,236.0,132.0,29.21,134.2,59.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,No record found,No record found,Retained,140000000.0
49,Prasidh Krishna,RR,Bowler ,100000000.0,India,Right Handed,Right-arm medium fast,34.0,7.0,5.0,3.0,2* v RCB,0.0,0.0,0.0,0.0,1.5,25.0,7.0,0.0,5.0,1.0,34.0,124.2,0.0,1152.0,30.0,4/30 v SRH,2.0,0.0,38.4,9.26,24.86,34.0,34.0,Capped,KKR,KKR,Auctioned,100000000.0
50,Jos Buttler,RR,Wicket-Keeper ,100000000.0,England,Right Handed,Unknown Bowling Style,65.0,64.0,8.0,1968.0,124 v SRH,1.0,11.0,194.0,90.0,35.14,150.0,34.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,No record found,No record found,Retained,100000000.0
51,Shimron Hetmyer,RR,Batsman ,85000000.0,West Indies,Left Handed,Unknown Bowling Style,31.0,29.0,9.0,517.0,75 v SRH,0.0,2.0,34.0,31.0,25.85,151.17,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Capped,DC,"RCB, DC",Auctioned,85000000.0
52,Trent Boult,RR,Bowler ,80000000.0,New Zealand,Right Handed,Left-arm fast medium,62.0,10.0,7.0,13.0,6 v CSK,0.0,0.0,0.0,1.0,4.33,68.42,23.0,0.0,6.0,0.0,62.0,236.1,5.0,1983.0,76.0,4/18 v CSK,5.0,0.0,26.09,8.39,18.64,62.0,62.0,Capped,MI,"SRH, KKR, DC, MI",Auctioned,80000000.0
53,Devdutt Padikkal,RR,Batsman ,77500000.0,India,Left Handed,Off break,29.0,29.0,1.0,884.0,101* v RR,1.0,6.0,95.0,22.0,31.57,125.03,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Capped,RCB,RCB,Auctioned,77500000.0
54,Yuzvendra Chahal,RR,Bowler ,65000000.0,India,Right Handed,Leg break googly,114.0,18.0,12.0,32.0,8* v CSK,0.0,0.0,0.0,0.0,5.33,41.02,24.0,0.0,5.0,2.0,113.0,408.0,4.0,3097.0,139.0,4/25 v PBKS,9.0,0.0,22.28,7.59,17.61,113.0,114.0,Capped,RCB,"MI, RCB",Auctioned,65000000.0
55,Ravichandran Ashwin,RR,All-Rounder ,50000000.0,India,Right Handed,Off break,167.0,63.0,22.0,456.0,45 v KKR,0.0,0.0,37.0,12.0,11.12,109.88,37.0,0.0,15.0,5.0,164.0,583.0,4.0,4031.0,145.0,4/34 v PBKS,6.0,0.0,27.8,6.91,24.12,164.0,167.0,Capped,DC,"CSK, RPS, PBKS, DC",Auctioned,50000000.0
56,Yashasvi Jaiswal,RR,Batsman ,40000000.0,India,Left Handed,Leg break,13.0,13.0,0.0,289.0,50 v CSK,0.0,1.0,34.0,12.0,22.23,136.32,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No record found,No record found,No record found,Retained,40000000.0
57,Riyan Parag,RR,All-Rounder ,38000000.0,India,Right Handed,Leg break,30.0,23.0,3.0,339.0,50 v DC,0.0,1.0,29.0,12.0,16.95,118.53,12.0,0.0,3.0,2.0,15.0,22.1,0.0,221.0,3.0,1/7 v PBKS,0.0,0.0,73.66,9.96,44.33,15.0,30.0,Uncapped,RR,RR,Auctioned,38000000.0
